boundary,u_x,u_y,x,y
0.0,3.6825303272088075e-07,0.00011691403172445816,1.555,1.555
0.0,-7.852226786148067e-05,-2.621449515579218e-05,1.555,3.11
0.0,-6.327977390826266e-05,7.887510650508633e-05,1.555,4.665
0.0,-7.125622725705313e-06,-1.5948269218375393e-05,1.555,6.22
0.0,-8.47913448027999e-05,0.00012671359065793104,1.555,7.775
0.0,-0.00019308871678372396,5.346087865780416e-05,1.555,9.33
0.0,4.800525879445844e-05,0.000279410065940571,1.555,10.885
0.0,9.420734793855016e-05,-0.00013454358747746545,1.555,12.44
0.0,7.248089406399228e-05,-0.00022376094933454567,1.555,13.995
0.0,5.841527292964676e-05,-8.269085489558595e-05,1.555,15.55
0.0,-3.98638290775988e-05,7.740070114733405e-05,1.555,17.105
0.0,3.024943290213936e-05,-0.00014098603487019875,1.555,18.66
0.0,2.380445973349037e-05,0.00011820081572568909,1.555,20.215
0.0,-6.689094450466092e-05,4.3331685118962473e-05,1.555,21.77
0.0,5.3294727844165304e-05,-6.470614246982194e-05,1.555,23.325
0.0,0.00017915086173932393,-1.3317336093715046e-05,1.555,24.88
0.0,-8.336362021427553e-05,-3.371274484998734e-05,1.555,26.435
0.0,0.000102176615957243,0.0001651378675910881,1.555,27.99
0.0,-0.00022312424298242842,1.5206179167747014e-05,1.555,29.545
0.0,-7.251161074773778e-05,4.4270376811020904e-05,1.555,31.1
0.0,0.00010149554855268447,1.0194525868390243e-05,1.555,32.655
0.0,-3.081747384778131e-06,4.260649280155589e-05,1.555,34.21
0.0,7.71777716256569e-05,-8.084746855737444e-05,1.555,35.765
0.0,-3.8201754378284716e-05,8.876770364266818e-05,1.555,37.32
0.0,9.254321743242846e-05,-2.3828317418664933e-05,1.555,38.875
0.0,-7.321286893404848e-05,-2.4215549108451516e-05,1.555,40.43
0.0,6.680422533155694e-05,4.0975367516226924e-05,1.555,41.985
0.0,9.348201608728588e-05,1.3716649707953077e-05,1.555,43.54
0.0,7.618384662902516e-05,-0.0001249814874493437,1.555,45.095
0.0,5.998596798424744e-05,0.0002633713041517046,1.555,46.65
0.0,0.0010208911171145291,0.001899904701518786,1.555,48.205
0.0,0.001246609614175055,0.0018624460957548667,1.555,49.76
0.0,0.001274249759974342,0.001976062782762112,1.555,51.315
0.0,0.0012684750427676696,0.0019647319480050472,1.555,52.87
0.0,0.001320588934935826,0.0018454718702027068,1.555,54.425
0.0,0.0011524657415419273,0.0019298653762382322,1.555,55.98
0.0,0.0011459353957179851,0.002212170424204221,1.555,57.535
0.0,0.0011642363063718382,0.002223879636043299,1.555,59.09
0.0,0.0013108894532266936,0.0022257989595031863,1.555,60.645
0.0,0.0015393957023914066,0.0022379446262546826,1.555,62.2
0.0,0.0012845241898180656,0.0024679227835246466,1.555,63.755
0.0,0.0013649002498518313,0.00261587956663515,1.555,65.31
0.0,0.001192227737193561,0.002486354679219946,1.555,66.865
0.0,0.001346167791945541,0.0025983874315343505,1.555,68.42
0.0,0.0014938822175672938,0.0025548962019617837,1.555,69.975
0.0,0.0012084222238617243,0.002652084221358814,1.555,71.53
0.0,0.0011588060614569843,0.0028125063316289337,1.555,73.085
0.0,0.00126649304626871,0.002815588946449577,1.555,74.64
0.0,0.0011956280434346001,0.003082594586542948,1.555,76.195
0.0,0.001411455626139051,0.003086610873138509,1.555,77.75
0.0,0.0012662835680746038,0.0031155895514150774,1.555,79.305
0.0,0.0015611593469697354,0.0033073366752008003,1.555,80.86
0.0,0.0013226227329789805,0.003289355917727265,1.555,82.415
0.0,0.0011902755249269233,0.003264500718787651,1.555,83.97
0.0,0.0014232666891034404,0.0034499340248348147,1.555,85.525
0.0,0.0011385936136751975,0.0034835570326626217,1.555,87.08
0.0,0.0013607528170173889,0.0034525757619392147,1.555,88.635
0.0,0.0013453284771208873,0.0037559917809369334,1.555,90.19
0.0,0.0012836183068475517,0.0035956326444611473,1.555,91.745
0.0,0.001130687945289123,0.00365075862496154,1.555,93.3
0.0,0.0012342835743842347,0.0037429817184482365,1.555,94.855
0.0,0.0012642751228262063,0.0038613526507582374,1.555,96.41
0.0,0.0011311691164171067,0.0038190596929254007,1.555,97.965
0.0,0.0011284284266869999,0.003944398662899814,1.555,99.52
0.0,0.0010801397245319595,0.0039532686164180635,1.555,101.075
0.0,0.0009418565273849258,0.004016670752997535,1.555,102.63
0.0,0.0009766424006310917,0.004268439926701638,1.555,104.185
0.0,0.0010832598376576091,0.004228235893892077,1.555,105.74
0.0,0.0008026127240014383,0.004229840926713599,1.555,107.295
0.0,0.0007810944708643614,0.004199563541137795,1.555,108.85
0.0,0.0006860449794038177,0.004075084860232474,1.555,110.405
0.0,0.0006825579675194141,0.0042726941920783875,1.555,111.96
0.0,0.0005133852349218405,0.004265710308587893,1.555,113.515
0.0,0.0004248000679406712,0.004222506696804998,1.555,115.07
0.0,0.0003815929815409537,0.004495027499784512,1.555,116.625
0.0,0.00024118414876796407,0.00415799162337347,1.555,118.18
0.0,-2.3130947567266883e-05,0.004215459431689756,1.555,119.735
0.0,0.000167409281442589,0.004281666813782053,1.555,121.29
0.0,-2.575486822266882e-05,0.004125581446412452,1.555,122.845
0.0,-0.0003300782567497619,0.003975234372252326,1.555,124.4
0.0,-0.00019739627046978586,0.004139799492625206,1.555,125.955
0.0,-0.00035604537864861673,0.00392403218654231,1.555,127.51
0.0,-0.0006762453461137755,0.0035841259123440636,1.555,129.065
0.0,-0.0007368755894260954,0.0036844394069266723,1.555,130.62
0.0,-0.0007570814258230677,0.0035962738578128838,1.555,132.175
0.0,-0.0009850255805947694,0.003346600544869653,1.555,133.73
0.0,-0.0010528303816801747,0.0033066637367404833,1.555,135.285
0.0,-0.0010259121077429577,0.003008650659121783,1.555,136.84
0.0,-0.0013521743838636974,0.0026897729903333236,1.555,138.395
0.0,-0.001558029469494658,0.0026033150854500703,1.555,139.95
0.0,-0.0015023931266091532,0.0024896623275711756,1.555,141.505
0.0,-0.001973419593550623,0.0020933967100662727,1.555,143.06
